spikerate ITI cue push reward
0.126854654354247 1 0 0 0
0.232804006373044 1 0 0 0
0.376201605831739 1 0 0 0
0.404075672122417 1 0 0 0
0.524423965543974 1 0 0 0
0.49347048116033 1 0 0 0
0.497945859478932 1 0 0 0
0.569436277146451 1 0 0 0
0.881694948475342 1 0 0 0
1.03084958391264 1 0 0 0
1.93906752974726 0 1 0 0
2.4231063289335 0 0 0 0
3.51916209910996 0 0 0 0
3.64991388050839 0 0 0 0
4.49711357941851 0 0 1 0
4.63737989775836 0 0 1 0
5.18686277791858 0 0 1 0
4.86279529286548 0 0 0 0
4.40786872059107 0 0 0 0
3.3209944376722 0 0 0 0
3.04673577193171 0 0 0 0
2.75756794144399 0 0 0 0
2.80736843706109 0 0 0 0
2.78831450850703 0 0 0 0
4.21614618971944 0 0 0 0
5.70032966788858 0 0 0 0
8.22536111809313 0 0 0 0
11.7817295249552 0 0 0 0
18.7462575268 0 0 0 0
23.6545505467802 0 0 0 0
24.8162015341222 0 0 0 0
23.9848615601659 0 0 0 0
19.8810803703964 0 0 0 0
14.9437701329589 0 0 0 0
9.98991238884628 0 0 0 0
7.85507797263563 0 0 0 0
5.59433666057885 0 0 0 0
3.61090106889606 0 0 0 0
2.27658997755498 0 0 0 0
1.53835868695751 0 0 0 0
1.12693473056424 0 0 0 0
0.854841469845269 0 0 0 0
0.63854635664029 0 0 0 0
0.551354172785068 0 0 0 0
0.576629856368527 0 0 0 0
0.568692819797434 0 0 0 0
0.595175573835149 0 0 0 0
0.563941030122805 0 0 0 1
0.689508728100918 0 0 0 1
0.703141973644961 0 0 0 1
0.702105622622184 0 0 0 1
0.706475475453772 0 0 0 1
0.627758927294053 0 0 0 1
0.651904607366305 0 0 0 1
0.578865059651434 0 0 0 1
0.530913468537619 0 0 0 1
0.43403783638496 0 0 0 1
0.375324809283484 0 0 0 1
0.336356788466219 0 0 0 1
0.244639484662912 0 0 0 1
0.242103678829153 0 0 0 1
0.21335417204682 0 0 0 1
0.284600442682859 0 0 0 1
0.316140944050858 0 0 0 1
0.295447556709405 0 0 0 1
0.334240681695519 0 0 0 1
0.325357170368079 0 0 0 1
0.324721404467709 0 0 0 1
0.281021239061374 0 0 0 1
0.285920174064813 0 0 0 1
0.257074694673065 0 0 0 1
0.227899572564638 0 0 0 1
0.263611324044177 0 0 0 1
0.20943554227415 0 0 0 1
0.211661539651686 0 0 0 1
0.22375006301445 0 0 0 1
0.192965797396027 0 0 0 1
