spikerate ITI cue push reward
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.0113309392872907 1 0 0 0
0 1 0 0 0
0.119868106594367 1 0 0 0
0.0198897450900404 1 0 0 0
0.0483458861708641 1 0 0 0
0.0399091286453768 1 0 0 0
0.0895372577360831 1 0 0 0
0.0504208765050862 1 0 0 0
0 1 0 0 0
0.0644030042167287 1 0 0 0
0.0202309336714279 1 0 0 0
0.250059132667957 1 0 0 0
0.0667240010443493 1 0 0 0
0.285928082121245 1 0 0 0
0.241844963511539 1 0 0 0
0.244005858348828 1 0 0 0
0.248210923757597 1 0 0 0
0.219838416796847 1 0 0 0
0.22965259523744 1 0 0 0
0.0101185878520482 1 0 0 0
0.0967557080002734 1 0 0 0
0 1 0 0 0
0.00137798269861378 1 0 0 0
0.0273786035904777 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.0313443059098972 1 0 0 0
0.110159990981629 1 0 0 0
0.0928589597606333 1 0 0 0
0.170479667758627 1 0 0 0
0.131912021970493 1 0 0 0
0.164091636179364 1 0 0 0
0.179395687155193 1 0 0 0
0.147327362356009 1 0 0 0
0.144253901453339 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.0678765627526445 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.0861297799019667 1 0 0 0
0.102760037407279 1 0 0 0
0.186922731700179 1 0 0 0
0.209630559766083 1 0 0 0
0.196657372725895 1 0 0 0
0.245121167608886 1 0 0 0
0.113009476081061 1 0 0 0
0.28901398400194 1 0 0 0
0.164580904311151 1 0 0 0
0.00793300432633259 1 0 0 0
0.0719921172276372 1 0 0 0
0.0406754618325067 1 0 0 0
0.0806038237897155 1 0 0 0
0.0916579738259315 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
