spikerate ITI cue push reward
2.77869793353602 1 0 0 0
2.45491220266558 1 0 0 0
2.61656369548291 1 0 0 0
2.18340862193145 1 0 0 0
2.18036575824954 1 0 0 0
2.00126599520445 1 0 0 0
2.29126572958194 1 0 0 0
2.28055531624705 1 0 0 0
2.3316181905102 1 0 0 0
2.26134221884422 1 0 0 0
2.16917479701806 1 0 0 0
2.44786049006507 1 0 0 0
2.41472758352757 1 0 0 0
2.07308755489066 1 0 0 0
1.65034853853285 1 0 0 0
1.51786730566528 1 0 0 0
1.4051004909561 1 0 0 0
1.16595644067274 1 0 0 0
1.14554040192161 1 0 0 0
1.11254216608359 1 0 0 0
1.30097908549942 1 0 0 0
1.27828460244928 1 0 0 0
1.33926609123591 1 0 0 0
1.37671132688411 1 0 0 0
1.58152179210447 1 0 0 0
1.74578771111555 1 0 0 0
1.6564468969591 1 0 0 0
1.59573953715153 1 0 0 0
1.62684822862502 1 0 0 0
1.78017186408397 1 0 0 0
1.61531768389978 1 0 0 0
1.55232870019972 1 0 0 0
1.38526206137612 1 0 0 0
1.52745758532546 1 0 0 0
1.41159434861038 1 0 0 0
1.42251433862839 1 0 0 0
1.29108673718292 1 0 0 0
1.57215808576439 1 0 0 0
1.53799008694477 1 0 0 0
1.79189363552723 1 0 0 0
1.89859725651331 1 0 0 0
1.96054908155929 1 0 0 0
2.19113199273124 1 0 0 0
2.35602460452355 1 0 0 0
2.5639079103712 1 0 0 0
2.46162436087616 1 0 0 0
2.80338458833285 1 0 0 0
3.1640215893276 1 0 0 0
3.37747571757063 1 0 0 0
3.78360727336258 1 0 0 0
4.10796765936539 1 0 0 0
5.03882562043145 1 0 0 0
5.69870939943939 1 0 0 0
6.78690837230533 1 0 0 0
7.88543524686247 1 0 0 0
8.79243272356689 1 0 0 0
10.0775493774563 1 0 0 0
10.8264636946842 1 0 0 0
11.9596056174487 1 0 0 0
12.9162007942796 1 0 0 0
14.2695803660899 1 0 0 0
15.2925697620958 1 0 0 0
16.298406990245 1 0 0 0
17.2784724272788 1 0 0 0
17.0179512351751 1 0 0 0
16.2960712332278 1 0 0 0
15.1905892416835 1 0 0 0
13.4782076347619 1 0 0 0
12.3959628399462 1 0 0 0
10.9812919981778 1 0 0 0
10.5180442333221 1 0 0 0
9.06864274293184 1 0 0 0
9.13063366897404 1 0 0 0
7.79353186953813 1 0 0 0
